year,District,Dropout Rate (%),Literacy Rate (%),Teacher-Student Ratio,School Infrastructure Quality,Average Annual Income (INR)
2021-2022,Anantapur,0.469135802,0.436576668,01:30,Good,0.573552264
2021-2022,Chittoor,0.197530864,0.842078451,01:28,Very Good,0.791933111
2021-2022,East Godavari,0.037037037,0.814569536,01:32,Good,1
2021-2022,Guntur,0.271604938,0.631686195,01:29,Average,0.573552264
2021-2022,Kadapa,0.234567901,0.59602649,01:31,Good,0.573552264
2021-2022,Krishna,0,0.954661233,01:27,Very Good,0.791933111
2021-2022,Kurnool,0.543209877,0.253183902,01:33,Average,0.573552264
2021-2022,Nellore,0.098765432,0.708099847,01:30,Good,0.573552264
2021-2022,Prakasam,0.308641975,0.411614875,01:32,Average,0.573552264
2021-2022,Srikakulam,0.135802469,0.343352012,01:31,Good,0.573552264
2021-2022,Visakhapatnam,0.074074074,0.606724401,01:28,Very Good,1
2021-2022,Vizianagaram,0.160493827,0.198166072,01:32,Good,0.573552264
2021-2022,West Godavari,0.012345679,1,01:29,Very Good,1
2020-2021,Anantapur,0.50617284,0.40753948,01:31,Good,0.481317986
2020-2021,Chittoor,0.259259259,0.815078961,01:29,Very Good,0.687597123
2020-2021,East Godavari,0.074074074,0.789607743,01:33,Good,0.89387626
2020-2021,Guntur,0.320987654,0.611309221,01:30,Average,0.481317986
2020-2021,Kadapa,0.259259259,0.560366786,01:32,Good,0.481317986
2020-2021,Krishna,0.012345679,0.916963831,01:28,Very Good,0.687597123
2020-2021,Kurnool,0.567901235,0.229240958,01:34,Average,0.481317986
2020-2021,Nellore,0.135802469,0.687722873,01:31,Good,0.481317986
2020-2021,Prakasam,0.320987654,0.382068263,01:33,Average,0.481317986
2020-2021,Srikakulam,0.197530864,0.30565461,01:32,Good,0.481317986
2020-2021,Visakhapatnam,0.135802469,0.585838003,01:29,Very Good,0.89387626
2020-2021,Vizianagaram,0.197530864,0.178298523,01:33,Good,0.481317986
2020-2021,West Godavari,0.074074074,0.967906266,01:30,Very Good,0.89387626
2019-2020,Anantapur,0.567901235,0.382068263,01:32,Good,0.412558274
2019-2020,Chittoor,0.320987654,0.789607743,01:30,Very Good,0.618837411
2019-2020,East Godavari,0.135802469,0.764136526,01:34,Good,0.825116548
2019-2020,Guntur,0.382716049,0.585838003,01:31,Average,0.412558274
2019-2020,Kadapa,0.320987654,0.534895568,01:33,Good,0.412558274
2019-2020,Krishna,0.074074074,0.891492613,01:29,Very Good,0.618837411
2019-2020,Kurnool,0.62962963,0.20376974,01:35,Average,0.412558274
2019-2020,Nellore,0.197530864,0.662251656,01:32,Good,0.412558274
2019-2020,Prakasam,0.382716049,0.356597045,01:34,Average,0.412558274
2019-2020,Srikakulam,0.259259259,0.280183393,01:33,Good,0.412558274
2019-2020,Visakhapatnam,0.197530864,0.560366786,01:30,Very Good,0.825116548
2019-2020,Vizianagaram,0.259259259,0.152827305,01:34,Good,0.412558274
2019-2020,West Godavari,0.135802469,0.942435048,01:31,Very Good,0.825116548
2018-2019,Anantapur,0.62962963,0.356597045,01:33,Good,0.343798562
2018-2019,Chittoor,0.382716049,0.764136526,01:31,Very Good,0.550077698
2018-2019,East Godavari,0.197530864,0.738665308,01:35,Good,0.756356835
2018-2019,Guntur,0.444444444,0.560366786,01:32,Average,0.343798562
2018-2019,Kadapa,0.382716049,0.50942435,01:34,Good,0.343798562
2018-2019,Krishna,0.135802469,0.866021396,01:30,Very Good,0.550077698
2018-2019,Kurnool,0.691358025,0.178298523,01:36,Average,0.343798562
2018-2019,Nellore,0.259259259,0.636780438,01:33,Good,0.343798562
2018-2019,Prakasam,0.444444444,0.331125828,01:35,Average,0.343798562
2018-2019,Srikakulam,0.320987654,0.254712175,01:34,Good,0.343798562
2018-2019,Visakhapatnam,0.197530864,0.534895568,01:31,Very Good,0.756356835
2018-2019,Vizianagaram,0.259259259,0.127356088,01:35,Good,0.343798562
2018-2019,West Godavari,0.135802469,0.916963831,01:32,Very Good,0.756356835
2017-2018,Anantapur,0.691358025,0.331125828,01:34,Good,0.275038849
2017-2018,Chittoor,0.444444444,0.738665308,01:32,Very Good,0.481317986
2017-2018,East Godavari,0.259259259,0.713194091,01:36,Good,0.687597123
2017-2018,Guntur,0.50617284,0.534895568,01:33,Average,0.275038849
2017-2018,Kadapa,0.444444444,0.483953133,01:35,Good,0.275038849
2017-2018,Krishna,0.197530864,0.840550178,01:31,Very Good,0.481317986
2017-2018,Kurnool,0.75308642,0.152827305,01:37,Average,0.275038849
2017-2018,Nellore,0.320987654,0.611309221,01:34,Good,0.275038849
2017-2018,Prakasam,0.50617284,0.30565461,01:36,Average,0.275038849
2017-2018,Srikakulam,0.382716049,0.229240958,01:35,Good,0.275038849
2017-2018,Visakhapatnam,0.259259259,0.50942435,01:32,Very Good,0.687597123
2017-2018,Vizianagaram,0.382716049,0.10188487,01:36,Good,0.275038849
2017-2018,West Godavari,0.259259259,0.891492613,01:33,Very Good,0.687597123
2016-2017,Anantapur,0.75308642,0.30565461,01:35,Good,0.206279137
2016-2017,Chittoor,0.50617284,0.713194091,01:33,Very Good,0.412558274
2016-2017,East Godavari,0.320987654,0.687722873,01:37,Good,0.618837411
2016-2017,Guntur,0.567901235,0.50942435,01:34,Average,0.206279137
2016-2017,Kadapa,0.50617284,0.458481915,01:36,Good,0.206279137
2016-2017,Krishna,0.259259259,0.815078961,01:32,Very Good,0.412558274
2016-2017,Kurnool,0.814814815,0.127356088,01:38,Average,0.206279137
2016-2017,Nellore,0.382716049,0.585838003,01:35,Good,0.206279137
2016-2017,Prakasam,0.567901235,0.280183393,01:37,Average,0.206279137
2016-2017,Srikakulam,0.444444444,0.20376974,01:36,Good,0.206279137
2016-2017,Visakhapatnam,0.320987654,0.483953133,01:33,Very Good,0.618837411
2016-2017,Vizianagaram,0.444444444,0.076413653,01:37,Good,0.206279137
2016-2017,West Godavari,0.320987654,0.866021396,01:34,Very Good,0.618837411
2015-2016,Anantapur,0.75308642,0.30565461,01:35,Good,0.206279137
2015-2016,Chittoor,0.50617284,0.713194091,01:33,Very Good,0.412558274
2015-2016,East Godavari,0.320987654,0.687722873,01:37,Good,0.618837411
2015-2016,Guntur,0.567901235,0.50942435,01:34,Average,0.206279137
2015-2016,Kadapa,0.50617284,0.458481915,01:36,Good,0.206279137
2015-2016,Krishna,0.259259259,0.815078961,01:32,Very Good,0.412558274
2015-2016,Kurnool,0.814814815,0.127356088,01:38,Average,0.206279137
2015-2016,Nellore,0.382716049,0.585838003,01:35,Good,0.206279137
2015-2016,Prakasam,0.567901235,0.280183393,01:37,Average,0.206279137
2015-2016,Srikakulam,0.444444444,0.20376974,01:36,Good,0.206279137
2015-2016,Visakhapatnam,0.320987654,0.483953133,01:33,Very Good,0.618837411
2015-2016,Vizianagaram,0.444444444,0.076413653,01:37,Good,0.206279137
2015-2016,West Godavari,0.320987654,0.866021396,01:34,Very Good,0.618837411
2014-2015,Anantapur,0.87654321,0.254712175,01:37,Good,0.068759712
2014-2015,Chittoor,0.62962963,0.662251656,01:35,Very Good,0.275038849
2014-2015,East Godavari,0.444444444,0.636780438,01:39,Good,0.481317986
2014-2015,Guntur,0.691358025,0.458481915,01:36,Average,0.068759712
2014-2015,Kadapa,0.62962963,0.40753948,01:38,Good,0.068759712
2014-2015,Krishna,0.382716049,0.764136526,01:34,Very Good,0.275038849
2014-2015,Kurnool,0.938271605,0.076413653,01:40,Average,0.068759712
2014-2015,Nellore,0.50617284,0.534895568,01:37,Good,0.068759712
2014-2015,Prakasam,0.691358025,0.229240958,01:39,Average,0.068759712
2014-2015,Srikakulam,0.567901235,0.152827305,01:38,Good,0.068759712
2014-2015,Visakhapatnam,0.444444444,0.433010698,01:35,Very Good,0.481317986
2014-2015,Vizianagaram,0.567901235,0.025471218,01:39,Good,0.068759712
2014-2015,West Godavari,0.444444444,0.815078961,01:36,Very Good,0.481317986
2013-2014,Anantapur,0.938271605,0.229240958,01:38,Good,0
2013-2014,Chittoor,0.691358025,0.636780438,01:36,Very Good,0.206279137
2013-2014,East Godavari,0.50617284,0.611309221,01:40,Good,0.412558274
2013-2014,Guntur,0.75308642,0.433010698,01:37,Average,0
2013-2014,Kadapa,0.691358025,0.382068263,01:39,Good,0
2013-2014,Krishna,0.444444444,0.738665308,01:35,Very Good,0.206279137
2013-2014,Kurnool,1,0.050942435,01:41,Average,0
2013-2014,Nellore,0.567901235,0.50942435,01:38,Good,0
2013-2014,Prakasam,0.75308642,0.20376974,01:40,Average,0
2013-2014,Srikakulam,0.62962963,0.127356088,01:39,Good,0
2013-2014,Visakhapatnam,0.50617284,0.40753948,01:36,Very Good,0.412558274
2013-2014,Vizianagaram,0.62962963,0,01:40,Good,0
2013-2014,West Godavari,0.50617284,0.789607743,01:37,Very Good,0.412558274